Gelber Sack;Bioabfall;Papier;Restmüll
02.01.2018;05.01.2018;08.01.2018;12.01.2018
15.01.2018;19.01.2018;12.02.2018;26.01.2018
29.01.2018;02.02.2018;12.03.2018;09.02.2018
12.02.2018;16.02.2018;09.04.2018;23.02.2018
26.02.2018;02.03.2018;14.05.2018;09.03.2018
12.03.2018;16.03.2018;11.06.2018;23.03.2018
24.03.2018;29.03.2018;09.07.2018;15.04.2018
09.04.2018;16.04.2018;13.08.2018;20.04.2018
23.04.2018;27.04.2018;10.09.2018;05.05.2018
07.05.2018;12.05.2018;08.10.2018;18.05.2018
22.05.2018;26.05.2018;12.11.2018;02.06.2018
04.06.2018;08.06.2018;10.12.2018;15.06.2018
18.06.2018;22.06.2018;;29.06.2018
02.07.2018;06.07.2018;;13.07.2018
16.07.2018;20.07.2018;;27.07.2018
30.07.2018;03.08.2018;;10.08.2018
13.08.2018;18.08.2018;;24.08.2018
27.08.2018;31.08.2018;;07.09.2018
10.09.2018;14.09.2018;;21.09.2018
24.09.2018;28.09.2018;;06.10.2018
08.10.2018;12.10.2018;;19.10.2018
22.10.2018;26.10.2018;;03.11.2018
05.11.2018;09.11.2018;;16.11.2018
19.11.2018;23.11.2018;;30.11.2018
03.12.2018;07.12.2018;;14.12.2018
17.12.2018;21.12.2018;;29.12.2018
31.12.2018;;;
