Bioabfall;Restmüll;Gelbe Tonne;Papier
02.01.2021;04.01.2021;13.01.2021;29.01.2021
18.01.2021;11.01.2021;10.02.2021;26.02.2021
01.02.2021;25.01.2021;10.03.2021;26.03.2021
15.02.2021;08.02.2021;08.04.2021;23.04.2021
01.03.2021;22.02.2021;05.05.2021;21.05.2021
15.03.2021;08.03.2021;02.06.2021;18.06.2021
27.03.2021;22.03.2021;30.06.2021;16.07.2021
12.04.2021;06.04.2021;28.07.2021;13.08.2021
26.04.2021;19.04.2021;25.08.2021;10.09.2021
10.05.2021;03.05.2021;22.09.2021;08.10.2021
25.05.2021;17.05.2021;20.10.2021;06.11.2021
07.06.2021;31.05.2021;17.11.2021;03.12.2021
21.06.2021;14.06.2021;15.12.2021;31.12.2021
05.07.2021;28.06.2021;;
19.07.2021;12.07.2021;;
02.08.2021;26.07.2021;;
16.08.2021;09.08.2021;;
30.08.2021;23.08.2021;;
13.09.2021;06.09.2021;;
27.09.2021;20.09.2021;;
11.10.2021;04.10.2021;;
25.10.2021;18.10.2021;;
08.11.2021;02.11.2021;;
22.11.2021;15.11.2021;;
06.12.2021;29.11.2021;;
18.12.2021;13.12.2021;;
;27.12.2021;;
