Bioabfall;Restmüll;Gelbe Tonne;Papier
03.01.2022;10.01.2022;12.01.2022;28.01.2022
17.01.2022;24.01.2022;09.02.2022;25.02.2022
31.01.2022;07.02.2022;09.03.2022;25.03.2022
14.02.2022;21.02.2022;06.04.2022;23.04.2022
28.02.2022;07.03.2022;04.05.2022;20.05.2022
14.03.2022;21.03.2022;01.06.2022;18.06.2022
28.03.2022;04.04.2022;29.06.2022;15.07.2022
09.04.2022;19.04.2022;27.07.2022;12.08.2022
25.04.2022;02.05.2022;24.08.2022;09.09.2022
09.05.2022;16.05.2022;21.09.2022;08.10.2022
23.05.2022;30.05.2022;19.10.2022;05.11.2022
07.06.2022;13.06.2022;16.11.2022;02.12.2022
20.06.2022;27.06.2022;14.12.2022;31.12.2022
04.07.2022;11.07.2022;;
18.07.2022;25.07.2022;;
01.08.2022;08.08.2022;;
16.08.2022;22.08.2022;;
29.08.2022;05.09.2022;;
12.09.2022;19.09.2022;;
26.09.2022;04.10.2022;;
10.10.2022;17.10.2022;;
24.10.2022;31.10.2022;;
07.11.2022;14.11.2022;;
21.11.2022;28.11.2022;;
05.12.2022;12.12.2022;;
19.12.2022;27.12.2022;;
